year,month,day,day_week,close_norm,open_norm,high_norm,low_norm,range_norm
2012,7,9,2,-0.006316076,-0.004042132,-0.004865315,-0.002142718,-0.209178228
2012,7,10,3,0.015441937,0.002085899,0.012349684,0.00860353,0.367071525
2012,7,11,4,-0.003557627,0.007963606,0.001420976,0.007314913,-0.410332346
2012,7,12,5,-0.009054166,-0.005742132,-0.009881707,-0.012681253,0.32421875
2012,7,13,6,-0.002058156,0.001386259,0.003667104,0.001079816,0.233881163
2012,7,16,2,-0.002477712,-0.003829224,-0.002085832,-0.001518628,-0.043032787
2012,7,17,3,-0.000960428,0.003259815,-0.001804953,-0.003198234,0.103140614
2012,7,18,4,0.004645744,-0.007479786,-0.004155151,-0.001934604,-0.15528955
2012,7,19,5,0.001409433,0.010913942,0.007474728,0.010287086,-0.218690157
2012,7,20,6,-0.013222495,-0.005760735,-0.008007583,-0.013501028,0.563235294
2012,7,23,2,-0.019748893,-0.02081833,-0.020766555,-0.020012615,-0.070241455
2012,7,24,3,0.002374788,-0.011445245,-0.005075825,-0.001633509,-0.24317032
2012,7,25,4,-0.003024565,0.00037928,-0.00329003,-0.001221031,-0.192067736
2012,7,26,5,-0.017924882,0.001939426,-0.000130872,-0.016489401,1.845008274
2012,7,27,6,0.005627839,-0.004875564,0.008493269,0.00463398,0.158976347
2012,7,30,2,0.026783557,-0.003285801,0.00244192,0.011858157,-0.315824691
2012,7,31,3,-0.002693968,0.023501964,0.00392249,0.001677664,0.116136919
2012,8,1,4,0.003447579,-0.010991322,-0.0021733,0.008291259,-0.471631982
2012,8,2,5,-0.003867599,0.005909469,-0.002651936,-0.001331771,-0.115671642
2012,8,3,6,-0.006165941,-0.009237243,-0.007799376,-0.009863396,0.191748711
2012,8,6,2,0.014230874,0.011049376,0.015982586,0.021314213,-0.4122738
2012,8,7,3,0.012382436,0.006996427,0.01099372,0.003529384,1.052878179
2012,8,8,4,-0.00591959,0.011552711,0.002246418,0.004568239,-0.156178676
2012,8,9,5,-0.007916043,-0.00457584,-0.002495125,-0.008200659,0.460973725
2012,8,10,6,-0.00832384,-0.013719685,-0.015540502,-0.01468564,-0.06268183
2012,8,13,2,0.004088252,-0.00845373,-0.003258607,0.001168219,-0.259875847
2012,8,14,3,0.011330314,0.00699764,0.012664183,0.010103024,0.213495997
2012,8,15,4,0,0,0,0,0
2012,8,16,5,-0.00878398,0.012140363,0.000374511,0.001708711,-0.08671065
2012,8,17,6,-0.000848778,-0.010637743,-0.004283934,-0.00490116,0.039903681
2012,8,20,2,0,0,0,0,0
2012,8,21,3,0.004953014,0.00105507,-0.002027442,-8.21E-05,-0.135296064
2012,8,22,4,0.000257892,-0.002194149,0.00468785,0.004626298,0.009563887
2012,8,23,5,-0.001384618,0.009103174,0.002577442,0.00111039,0.118226601
2012,8,24,6,-0.011938572,-0.009920305,-0.014070837,-0.009098941,-0.36496103
2012,8,27,2,-0.017657278,-0.006367437,-0.007107013,-0.0178465,1.175560299
2012,8,28,3,-0.008965164,-0.018213914,-0.018078495,-0.011007065,-0.369634535
2012,8,29,4,-0.004721952,-0.007147818,-0.002398696,-0.002469358,0.00311284
2012,8,30,5,0.007321288,-0.009843809,0.000385109,-0.003905742,0.333204034
2012,8,31,6,-0.009389997,0.005892846,4.94E-06,-0.001039256,0.060517894
2012,9,3,2,-0.002752615,-0.000612733,-0.004782375,-0.000723713,-0.226337449
2012,9,4,3,0.00578641,-0.006320501,-0.004909497,-0.002479505,-0.176241135
2012,9,5,4,-0.019235279,-0.0002458,-0.005641383,-0.010366195,0.397761515
2012,9,6,5,0.006639262,-0.011886603,-0.002901848,0.001762779,-0.284878349
2012,9,7,6,0.023132167,0.020372618,0.018828946,0.020861835,-0.153316107
2012,9,10,2,-0.005152144,0.010614951,0.004647377,0.000478257,0.430315361
2012,9,11,3,0.006559184,-0.013103469,-0.002715617,-0.003460725,0.050497866
2012,9,12,4,0.004691246,0.015537759,0.006869079,0.010303303,-0.225795531
2012,9,13,5,0.002391135,0.003675152,0.003467349,0.006098164,-0.229121119
2012,9,14,6,0.042624268,0.01903298,0.039490613,0.023300971,1.907543959
2012,9,17,2,0.031828731,0.037359787,0.035716462,0.037359787,-0.031018338
2012,9,18,3,0.005632123,0.014156579,0.00176996,0.011632753,-0.427018321
2012,9,19,4,0,0,0,0,0
2012,9,20,5,-0.011110608,-0.003858465,-0.003000452,-0.003268423,0.017568517
2012,9,21,6,0.040079481,0.006000348,0.036376657,0.007913107,2.176450276
2012,9,24,2,0.005722587,0.035190442,0.008803387,0.035190442,-0.620719643
2012,9,25,3,-0.000240732,0.008024262,-0.001395903,-0.00335408,0.126110633
2012,9,26,4,0.00056914,-0.0056548,-0.006650662,9.27E-05,-0.395265971
2012,9,27,5,-0.000682579,0.007074664,0.004300305,0.004954846,-0.058080808
2012,9,28,6,0.003270735,0.001770413,0.004055612,0.005233624,-0.115728329
2012,10,1,2,-0.003172788,-0.002128576,-0.006136857,-0.006251148,0.00707428
2012,10,2,3,0,0,0,0,0
2012,10,3,4,-0.000481592,-0.001910645,0.000505841,-0.000417898,0.105870547
2012,10,4,5,0.019369336,0.001743851,0.018628207,0.008669515,1.045372051
2012,10,5,6,-0.010712398,0.024873147,0.005104595,-0.123606585,6.549245785
2012,10,8,2,-0.012961065,-0.018267037,-0.018267037,0.129360986,-0.889633286
2012,10,9,3,0.007384133,-0.007623161,-0.000199468,0.002719775,-0.176517572
2012,10,10,4,-0.013506784,-0.005461974,-0.012846591,-0.009016415,-0.294536049
2012,10,11,5,0.012380995,-0.003984974,0.008497177,-0.002346699,1.128780935
2012,10,12,6,-0.00374848,0.011848362,0.004373984,0.011329782,-0.332400431
2012,10,15,2,0.004684571,-0.006234088,-0.006276486,-0.007360118,0.073202193
2012,10,16,3,-0.008198011,0.008580679,0.004687991,0.003530173,0.083233173
2012,10,17,4,0.000903243,-0.00682006,-0.007216405,-0.002237768,-0.320110957
2012,10,18,5,0.020082319,-0.000932811,0.014804669,0.005423387,0.88004896
2012,10,19,6,-0.00821225,0.011625002,0.00095303,0.005284138,-0.212673611
2012,10,22,2,0.010112086,-0.01013515,0.001171843,-0.000424536,0.101708931
2012,10,23,3,-0.002519944,0.016082857,0.003231706,0.010083717,-0.388291218
2012,10,24,4,0,0,0,0,0
2012,10,25,5,0.003139534,-0.005471402,-0.001149544,0.000671894,-0.173006135
2012,10,26,6,-0.009070558,0.003339889,-0.00104351,-0.006415532,0.612265084
2012,10,29,2,-0.003214833,-0.006420081,-0.003907577,-0.003165261,-0.056134969
2012,10,30,3,-0.023461165,-0.003415461,0.001229954,-0.022581449,1.770555736
2012,10,31,4,0.005873427,-0.022869576,-0.026728333,-0.00434946,-0.613372434
2012,11,1,5,0.004104252,0.005493108,0.005261293,0.009438033,-0.276699029
2012,11,2,6,0.012850142,0.016344916,0.011291346,0.014599028,-0.30033557
2012,11,5,2,0.001282672,-8.30E-05,0.001023738,0.000627515,0.055155875
2012,11,6,3,0.005568555,-0.001899613,0.006889018,0.002337453,0.596590909
2012,11,7,4,0.010958441,0.010273059,0.013022488,0.008019811,0.419928826
2012,11,8,5,-0.004453302,0.001385839,-0.006924593,0.001189277,-0.475438596
2012,11,9,6,-0.011878366,0.004104192,0.002229774,-0.009199449,1.261825131
2012,11,12,2,0.009433058,-0.010397285,-0.004723977,0.003071619,-0.381073088
2012,11,13,3,-0.004312038,0.008460929,-0.000908793,0.004458093,-0.420819113
2012,11,14,4,0,0,0,0,0
2012,11,15,5,-0.001083762,-0.007958361,-0.005862953,-0.008194799,0.310548026
2012,11,16,6,-0.016135192,-0.000482898,0.000598426,-0.009895744,1.07823741
2012,11,19,2,-0.002518636,-0.012613656,-0.013772899,-0.004391454,-0.472739074
2012,11,20,3,0.001003807,0.002759496,0.002772834,0.00118155,0.149774313
2012,11,21,4,0.012992234,-0.001912264,0.005920349,0.003021376,0.239114918
